rowid,utility_id_ferc1,plant_name_ferc1,plant_type,installation_year,capacity_mw,peak_demand_mw,plant_hours_connected_while_generating,net_capacity_favorable_conditions_mw,net_capacity_adverse_conditions_mw,net_generation_mwh
3183,2,logan martin,Storage,1964.0,128.3,126.0,8760.0,148.0,107.0,304607.0
3184,2,lay,Run-of-River,1968.0,177.0,174.0,8760.0,183.0,144.0,465555.0
3185,2,mitchell,Run-of-River,1985.0,170.0,169.0,8751.0,176.0,122.0,384502.0
3186,2,jordan,Run-of-River,1928.0,100.0,100.0,8758.0,128.0,81.0,271018.0
3187,2,walter bouldin,Run-of-River,1967.0,225.0,234.0,8586.0,240.0,153.0,470523.0
3188,2,martin,Storage,1952.0,154.2,162.0,8760.0,182.0,111.0,167873.0
3189,2,yates,Run-of-River,1928.0,32.0,44.0,8748.0,46.0,36.0,69642.0
3190,2,thurlow,Run-of-River,1930.0,58.0,81.0,8749.0,82.0,70.0,106988.0
3191,2,lewis smith,Storage,1962.0,157.5,158.0,8663.0,200.0,158.0,244386.0
3192,2,bankhead,Run-of-River,1963.0,45.1,52.0,7913.0,54.0,41.0,159508.0
3193,2,holt,Run-of-River,1968.0,40.0,47.0,6484.0,49.0,11.0,107982.0
3194,2,r.l. harris,Storage,1983.0,135.0,136.0,8758.0,138.0,109.0,84583.0
3195,57,mathis-terrora,Storage,1925.0,16.0,23.0,8760.0,17.0,15.0,39634.0
3196,57,tallulah falls,Run-of-River,1920.0,72.0,73.0,8760.0,72.0,66.0,138194.0
3197,57,tugalo,Run-of-River,1924.0,45.0,55.0,8760.0,52.0,45.0,87913.0
3198,57,yonah,Run-of-River,1925.0,23.0,33.0,8760.0,29.0,25.0,40722.0
3199,57,bartletts ferry,Storage,1985.0,173.0,178.0,8760.0,193.0,175.0,287645.0
3200,57,goat rock,Run-of-River,2005.0,39.0,41.0,8756.0,40.0,40.0,128705.0
3201,57,oliver dam,Run-of-River,1959.0,60.0,59.0,8751.0,59.0,59.0,144444.0
3202,57,north highlands,Run-of-River,1963.0,30.0,38.0,8759.0,35.0,34.0,85888.0
3203,57,sinclair dam,Storage,1953.0,45.0,45.0,8760.0,44.0,39.0,64718.0
3204,57,lloyd shoals,Storage,1916.0,14.0,29.0,8760.0,23.0,18.0,45612.0
3205,57,morgan falls,Run-of-River,1923.0,17.0,15.0,8759.0,11.0,11.0,37557.0
3206,57,wallace dam,Storage,1980.0,113.0,111.0,2175.0,115.0,109.0,209374.2
3207,41,hardy,Storage,1931.0,31.52,35.0,6411.0,33.0,4.0,98523.0
3208,41,hodenpyl,Run-of-River,1925.0,19.0,13.0,8630.0,18.0,2.0,43236.0
3209,41,tippy,Run-of-River,1918.0,20.1,17.0,8757.0,21.0,5.0,56852.0
3210,186,roanoke rapids,Daily Storage,1955.0,100.0,99.0,8760.0,95.0,95.0,161652.28
3211,186,gaston,Daily Storage,1963.0,220.0,222.0,2402.0,220.0,220.0,172238.75
3212,141,faraday,Run-of-River;Storage,1958.0,36.8,47.0,5441.0,46.0,5.0,166808.0
3213,141,north fork,Run-of-River,1958.0,40.8,57.0,8764.0,58.0,7.0,250907.0
3214,141,river mill,Run-of-River,1952.0,18.9,28.0,8784.0,25.0,4.0,117079.0
3215,141,oak grove,Run-of-River;Stor,1931.0,51.0,52.0,8770.0,44.0,19.0,275313.0
3216,141,pelton,Storage,1958.0,109.8,106.0,7697.0,110.0,60.0,455649.0
3217,141,round butte,Storage,1964.0,277.2,300.0,8023.0,353.0,192.0,1063706.0
3218,141,sullivan,Run-of-River,1953.0,15.4,16.0,8753.0,18.0,7.0,119700.0
3219,133,balch no. 1,R of R/Storage,1927.0,31.0,34.0,8111.0,34.0,34.0,104803.912
3220,133,balch no. 2,R of R/Storage,1958.0,97.2,105.0,8246.0,105.0,104.0,278910.21
3221,133,belden,R of R/Storage,1969.0,117.9,125.0,4759.0,125.0,125.0,202964.628
3222,133,james b. black, R of R/Storage,1966.0,168.66,172.0,8716.0,172.0,172.0,626493.68
3223,133,bucks creek,R of R/Storage,1928.0,66.0,65.0,8765.0,65.0,53.0,188697.001
3224,133,butt valley,R of R/Storage,1958.0,40.0,41.0,7666.0,41.0,38.0,104854.53
3225,133,caribou no. 1,R of R/Storage,1924.0,73.85,75.0,4363.0,75.0,74.0,85757.273
3226,133,caribou no. 2,R of R/Storage,1958.0,117.9,120.0,7752.0,120.0,119.0,354621.8
3227,133,coleman,R of R/Storage,1979.0,12.15,13.0,8277.0,13.0,5.0,48960.677
3228,133,cresta, R of R/Storage,1950.0,73.8,70.0,8752.0,70.0,72.0,220161.529
3229,133,de sabla,R of R/Storage,1963.0,18.45,19.0,7874.0,19.0,19.0,75349.278
3230,133,drum no. 1,R of R/Storage,1928.0,49.2,54.0,1713.0,54.0,54.0,34839.665
3231,133,drum no. 2,R of R/Storage,1965.0,53.1,50.0,8151.0,50.0,49.0,271750.797
3232,133,dutch flat,R of R/Storage,1943.0,22.0,22.0,7520.0,22.0,23.0,105095.243
3233,133,electra,R of R/Storage,1948.0,102.5,98.0,8527.0,98.0,98.0,337177.767
3234,133,haas,R of R/Storage,1958.0,135.0,144.0,7929.0,144.0,138.0,288548.5
3235,133,halsey,R of R/Storage,1916.0,13.6,11.0,7490.0,11.0,11.0,38619.964
3236,133,hat creek no. 1,R of R/Storage,1921.0,10.0,9.0,1768.0,9.0,4.0,6613.514
3237,133,hat creek no. 2,R of R/Storage,1921.0,10.0,9.0,8696.0,9.0,9.0,38652.269
3238,133,kerckhoff no. 2,R of R/Storage,1983.0,139.5,155.0,5411.0,155.0,151.0,270101.209
3239,133,kings river,R of R/Storage,1962.0,48.6,52.0,5345.0,52.0,52.0,100412.658
3240,133,narrows,R of R/Storage,1942.0,10.2,12.0,8364.0,12.0,12.0,86095.488
3241,133,pit no.1,R of R/Storage,1922.0,69.3,61.0,8703.0,61.0,61.0,208393.771
3242,133,pit no. 3,R of R/Storage,1925.0,80.19,70.0,8525.0,70.0,70.0,254463.564
3243,133,pit no. 4,R of R/Storage,1955.0,103.5,95.0,8743.0,95.0,95.0,342020.293
3244,133,pit no. 5,R of R/Storage,1944.0,141.84,160.0,7964.0,160.0,160.0,498459.407
3245,133,pit no. 6,R of R/Storage,1965.0,79.2,80.0,8742.0,80.0,80.0,296442.152
3246,133,pit no. 7,R of R/Storage,1965.0,109.8,112.0,8756.0,112.0,112.0,414592.759
3247,133,poe,R of R/Storage,1958.0,142.83,120.0,8425.0,120.0,125.0,423082.882
3248,133,rock creek,R of R/Storage,1950.0,124.74,112.0,6157.0,112.0,114.0,190252.26
3249,133,salt springs,R of R/Storage,1953.0,42.03,44.0,7637.0,44.0,34.0,146200.07
3250,133,stanislaus,R of R/Storage,1963.0,81.9,91.0,6952.0,91.0,91.0,240806.656
3251,133,tiger creek,R of R/Storage,1931.0,52.28,58.0,7194.0,58.0,58.0,231938.065
3252,133,west point,R of R/Storage,1948.0,13.6,15.0,8045.0,15.0,13.0,68985.134
3253,133,wise no. 1,R of R/Storage,1917.0,13.6,14.0,5632.0,14.0,14.0,46354.626
3254,133,a.g. wishon,R of R/Storage,1910.0,12.8,20.0,6064.0,20.0,12.0,35787.319
3255,19,sturgeon pool,Storage,1924.0,14.4,14.0,9178.0,16.0,16.0,44.997
3256,19,dashville,Run-of-River,1920.0,4.8,5.0,11233.0,6.0,6.0,14.213
3257,19,high falls,Run-of River,1986.0,3.2,3.0,6336.0,4.0,4.0,3.764
3258,145,shoshone,Run-of-River,1909.0,14.4,12.0,7333.0,15.0,8.0,59999.0
3259,120,henn is & upper dam,Run of River,1955.0,13.89,11.0,7885.0,7.0,6.0,47317.278
